v,up_down_t,amptitude,t
3000,1000,16,1267
3000,900,6.5,1202
3000,800,4.5,1133
3000,700,5.5,1060
3000,600,4.5,982
3000,500,12.5,896
3000,400,2.5,802
3000,300,7.5,695
3000,200,26.5,568
3000,100,47,402
2700,1000,5.5,1335
2700,900,8.5,1267
2700,800,4,1195
2700,700,6,1118
2700,600,5,1035
2700,500,6,945
2700,400,7.5,845
2700,300,6.5,732
2700,200,17,598
2700,100,76,424
2400,1000,4,1416
2400,900,4,1344
2400,800,7.5,1267
2400,600,6,1097
2400,400,5.5,896
2400,200,9,634
2400,100,65,452
2100,1000,3,1514
2100,800,6,1354
2100,600,6,1173
2100,400,4.5,958
2100,200,7,678
2100,100,45,488
1800,1000,3,1635
1800,800,3,1463
1800,600,8.5,1267
1800,400,2.5,1035
1800,200,1,782
1800,100,18,535
1500,1000,3.5,1791
1500,800,5.5,1605
1500,600,2.5,1388
1500,400,4,1133
1500,200,3.5,802
1500,100,10,602
1200,1000,3,2002
1200,800,4,1791
1200,600,5,1551
1200,400,7.5,1267
1200,200,7.5,902
1200,100,10,702
900,1000,4,2311
900,800,4,2068
900,600,5.5,1791
900,400,3,1463
900,200,5,1069
900,100,25,869
600,1000,2,2830
600,800,2.5,2532
600,600,4,2196
600,400,5.5,1806
600,200,3,1402
600,100,13,1202
300,1000,1.5,4003
300,800,1.5,3603
300,600,3.5,3203
300,400,4.5,2803
300,200,5,2403
300,100,4,2203
